assembly_accession	assembly_name	taxon_id	organism_name	source_database	annotation_provider	access_url	file_format	release_date	pipeline_name	pipeline_method	pipeline_version	last_modified_date	md5_checksum	retrieval_date
GCA_000332375.1	AV1	241585	Amazona vittata	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Amazona_vittata__Puerto_Rican_parrot__amaVit1__GCA_000332375.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	23dfeccc245600683ab3cb3e329a9216	2026-07-18
GCA_000337935.2	Cliv_2.1	8932	Columba livia	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Columba_livia__rock_pigeon__HLcolLiv2__GCA_000337935.2/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	9370c667f9d1aec88d0961cc391554a1	2026-07-18
GCA_000688575.1	CavAp1.0	37548	Cavia aperea	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cavia_aperea__Brazilian_guinea_pig__cavApe1__GCA_000688575.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	f7a9e6e7a3dde66900ba71b121ede67a	2026-07-18
GCA_000696875.1	ASM69687v1	176057	Nestor notabilis	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Nestor_notabilis__Kea__HLnesNot1__GCA_000696875.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	234833153186673bcd43cec59e3aedeb	2026-07-18
GCA_000738735.2	ASM73873v2	932674	Corvus cornix cornix	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Corvus_cornix_cornix__hooded_crow__HLcorCor3__GCA_000738735.2/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	3cb78d0aa38ff134e1fb87980145c504	2026-07-18
GCA_000738735.4	ASM73873v4	932674	Corvus cornix cornix	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Corvus_cornix_cornix__hooded_crow__HLcorCorCor4__GCA_000738735.4/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	a09b4860a25ddcd1ceeb5cc23663447e	2026-07-18
GCA_000765075.1	Caeg1	9923	Capra aegagrus	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Capra_aegagrus__wild_goat__HLcapAeg1__GCA_000765075.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	41a40722498e1b1c176af6a218009ebb	2026-07-18
GCA_000767525.1	Vi_pacos_V1.0	273913	Vicugna pacos huacaya	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Vicugna_pacos_huacaya__alpaca__HLvicPacHua3__GCA_000767525.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	1116b8a6437353b46e449b512d8d4aef	2026-07-18
GCA_000767855.1	Ca_bactrianus_MBC_1.0	9837	Camelus bactrianus	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Camelus_bactrianus__Bactrian_camel__HLcamBac1__GCA_000767855.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	81ab3ce88885e6c93c44099ab6fe6cdb	2026-07-18
GCA_000772465.1	Charlie1.0	43780	Nasalis larvatus	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Nasalis_larvatus__proboscis_monkey__nasLar1__GCA_000772465.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	d2889c2fd4c69c655ca5f29205c96984	2026-07-18
GCA_000803125.3	CamDro3	9838	Camelus dromedarius	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Camelus_dromedarius__Arabian_camel__HLcamDro2__GCA_000803125.3/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	eb4625a6581667e5ab6c858d5f87524b	2026-07-18
GCA_000978805.1	ASM97880v1	33556	Balaenoptera bonaerensis	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Balaenoptera_bonaerensis__Antarctic_minke_whale__HLbalBon1__GCA_000978805.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	4832543a6fbefd63d7a3f4d2d149a4d3	2026-07-18
GCA_001262655.1	Emacaco_refEf_BWA_oneround	30602	Eulemur macaco	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Eulemur_macaco__black_lemur__eulMac1__GCA_001262655.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	162cdedb536737f15fae09634e81cf53	2026-07-18
GCA_001281735.1	ASM128173v1	1220523	Zosterops lateralis melanops	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Zosterops_lateralis_melanops__silver-eye__HLzosLat1__GCA_001281735.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	5a3e5e84237bbddee5766714faf96970	2026-07-18
GCA_001420675.1	ASM142067v1	12930	Amazona aestiva	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Amazona_aestiva__blue-fronted_amazon__HLamaAes1__GCA_001420675.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	1cf015fc00bf02240b141e3bd6014923	2026-07-18
GCA_001431845.1	ASM143184v1	198806	Calidris pugnax	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Calidris_pugnax__ruff__HLcalPug1__GCA_001431845.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	25cf7994331e4b8cae68142658d3596e	2026-07-18
GCA_001447265.1	Sturnus_vulgaris-1.0	9172	Sturnus vulgaris	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Sturnus_vulgaris__Common_starling__HLstuVul1__GCA_001447265.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	608999960b9d6314306c324ecd6b120a	2026-07-18
GCA_001458135.1	marMar2.1	9994	Marmota marmota marmota	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Marmota_marmota_marmota__Alpine_marmot__HLmarMar1__GCA_001458135.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	3c3e1212a02e221bbdc4fdc5e7a4db60	2026-07-18
GCA_001522545.3	Parus_major1.1	9157	Parus major	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Aves/Parus_major__Great_Tit__HLparMaj1__GCA_001522545.3/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	301b46b68f8b1a5200a3922ebddec12e	2026-07-18
GCA_001595765.1	Mnat.v1	291302	Miniopterus natalensis	CommunityRegistry	Hiller Lab, Senckenberg Research Institute	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Miniopterus_natalensis__Natal_long-fingered_bat__HLminNat1__GCA_001595765.1/query_annotation.gff.gz	gff	2026-07-08	TOGA2	TOGA2 comparative genome annotation pipeline	2.0.9	2026-07-08	fc003be0565edff0e0d93ad9fd02c985	2026-07-18
