accession	full_path
GCA_000412225.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/225/GCA_000412225.2_ASM41222v2//GCA_000412225.2_ASM41222v2_genomic.gff.gz
GCA_963924405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/405/GCA_963924405.1_CAAN4//GCA_963924405.1_CAAN4_genomic.gff.gz
GCF_021347895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/347/895/GCF_021347895.1_KAUST_Apoly_ChrSc/GCF_021347895.1_KAUST_Apoly_ChrSc_genomic.gff.gz
GCF_904848185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/848/185/GCF_904848185.1_fAcaLat1.1/GCF_904848185.1_fAcaLat1.1_genomic.gff.gz
GCF_929443795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/929/443/795/GCF_929443795.1_bAccGen1.1/GCF_929443795.1_bAccGen1.1_genomic.gff.gz
GCA_035582765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/582/765/GCA_035582765.1_UCONN_Acne_2//GCA_035582765.1_UCONN_Acne_2_genomic.gff.gz
GCA_025594385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/594/385/GCA_025594385.1_ASM2559438v1//GCA_025594385.1_ASM2559438v1_genomic.gff.gz
GCA_030490815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/490/815/GCA_030490815.1_UCONN_Acsa_1.0//GCA_030490815.1_UCONN_Acsa_1.0_genomic.gff.gz
GCA_030979865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/979/865/GCA_030979865.1_UCONN_Acsa_2//GCA_030979865.1_UCONN_Acsa_2_genomic.gff.gz
GCA_008009225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/009/225/GCA_008009225.1_AYv1.1//GCA_008009225.1_AYv1.1_genomic.gff.gz
