accession	full_path
GCA_000412225.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/225/GCA_000412225.2_ASM41222v2_genomic.gff.gz
GCA_963924405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/405/GCA_963924405.1_CAAN4_genomic.gff.gz
GCA_963924395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/395/GCA_963924395.1_CAAN3_genomic.gff.gz
GCA_963924415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/415/GCA_963924415.1_CAAN2_genomic.gff.gz
GCA_963924425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/425/GCA_963924425.1_CAAN1_genomic.gff.gz
GCA_001661425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/425/GCA_001661425.1_Canar1_genomic.gff.gz
GCA_002007985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/985/GCA_002007985.1_ASM200798v1_genomic.gff.gz
GCA_002007995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/995/GCA_002007995.1_ASM200799v1_genomic.gff.gz
GCA_002008015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/015/GCA_002008015.1_ASM200801v1_genomic.gff.gz
GCA_002008025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/025/GCA_002008025.1_ASM200802v1_genomic.gff.gz
