Assembly Accession	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/Ass/mbl/y A/cce
GCA_000412225.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/225
GCA_963924405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/405
GCA_963924395.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/395
GCA_963924415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/415
GCA_963924425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/425
GCA_001661425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/425
GCA_002007985.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/985
GCA_002007995.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/995
GCA_002008015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/015
GCA_002008025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/025
GCA_002008065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/065
GCA_002008075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/075
GCA_002008085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/085
GCA_002008095.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/095
GCA_030267585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/585
GCA_030267665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/665
GCA_030267685.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/685
GCA_030267825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/825
GCA_030267845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/845
GCA_030267865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/865
