annotation_name	accession	assminfo-name	organism-name	organism-tax-id	full_path
GCF_021347895.1_KAUST_Apoly_ChrSc_genomic	GCF_021347895.1	KAUST_Apoly_ChrSc	Acanthochromis polyacanthus	80966	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/347/895/GCF_021347895.1_KAUST_Apoly_ChrSc/GCF_021347895.1_KAUST_Apoly_ChrSc_genomic.gff.gz
GCF_904848185.1_fAcaLat1.1_genomic	GCF_904848185.1	fAcaLat1.1	Acanthopagrus latus	8177	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/848/185/GCF_904848185.1_fAcaLat1.1/GCF_904848185.1_fAcaLat1.1_genomic.gff.gz
GCF_929443795.1_bAccGen1.1_genomic	GCF_929443795.1	bAccGen1.1	Accipiter gentilis	8957	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/929/443/795/GCF_929443795.1_bAccGen1.1/GCF_929443795.1_bAccGen1.1_genomic.gff.gz
GCA_035582765.1_UCONN_Acne_2_genomic	GCA_035582765.1	UCONN_Acne_2	Acer negundo	4023	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/582/765/GCA_035582765.1_UCONN_Acne_2/GCA_035582765.1_UCONN_Acne_2_genomic.gff.gz
GCA_025594385.1_ASM2559438v1_genomic	GCA_025594385.1	ASM2559438v1	Acer negundo	4023	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/594/385/GCA_025594385.1_ASM2559438v1/GCA_025594385.1_ASM2559438v1_genomic.gff.gz
GCA_030490815.1_UCONN_Acsa_1.0_genomic	GCA_030490815.1	UCONN_Acsa_1.0	Acer saccharum	4024	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/490/815/GCA_030490815.1_UCONN_Acsa_1.0/GCA_030490815.1_UCONN_Acsa_1.0_genomic.gff.gz
GCA_030979865.1_UCONN_Acsa_2_genomic	GCA_030979865.1	UCONN_Acsa_2	Acer saccharum	4024	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/979/865/GCA_030979865.1_UCONN_Acsa_2/GCA_030979865.1_UCONN_Acsa_2_genomic.gff.gz
GCA_008009225.1_AYv1.1_genomic	GCA_008009225.1	AYv1.1	Acer yangbiense	1000413	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/009/225/GCA_008009225.1_AYv1.1/GCA_008009225.1_AYv1.1_genomic.gff.gz
GCF_027475565.1_VMU_Ajub_asm_v1.0_genomic	GCF_027475565.1	VMU_Ajub_asm_v1.0	Acinonyx jubatus	32536	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/475/565/GCF_027475565.1_VMU_Ajub_asm_v1.0/GCF_027475565.1_VMU_Ajub_asm_v1.0_genomic.gff.gz
GCA_030684275.1_Acipenser_oxyrinchus.AOXY1.1_genomic	GCA_030684275.1	Acipenser_oxyrinchus.AOXY1.1	Acipenser oxyrinchus oxyrinchus	40147	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/684/275/GCA_030684275.1_Acipenser_oxyrinchus.AOXY1.1/GCA_030684275.1_Acipenser_oxyrinchus.AOXY1.1_genomic.gff.gz
