assembly_accession	assembly_name	taxon_id	organism_name	source_database	annotation_provider	access_url	file_format	release_date	retrieval_date	pipeline_name	pipeline_method	pipeline_version	last_modified_date	md5_checksum
GCA_977020195.1	Ahypochondriacus_v3	28502	Amaranthus hypochondriacus	GenBank	University of Cologne	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/977/020/195/GCA_977020195.1_Ahypochondriacus_v3/GCA_977020195.1_Ahypochondriacus_v3_genomic.gff.gz	gff	2025-11-08	2026-01-06				2025-11-26	1436d5c3d89d3852a1b62d82028edb63
GCA_052324605.1	Asoc_v1	688398	Aphomia sociella	GenBank	GenBank submitter	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/324/605/GCA_052324605.1_Asoc_v1/GCA_052324605.1_Asoc_v1_genomic.gff.gz	gff	2025-09-30	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2025-11-30	cc66e2b66cbb12b1d2454f06ad20452c
GCA_048569485.1	aAnoBae1.hap1	238106	Anomaloglossus baeobatrachus	GenBank	GenBank submitter	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/569/485/GCA_048569485.1_aAnoBae1.hap1/GCA_048569485.1_aAnoBae1.hap1_genomic.gff.gz	gff	2025-08-27	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2025-12-01	c991b66289bf199b2acc4de5f9f8dcce
GCA_964659505.1	VM42	3383321	Cosmosporella sp. VM-42	GenBank	groningen institute for evolutionary life sciences, university of groningen	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/659/505/GCA_964659505.1_VM42/GCA_964659505.1_VM42_genomic.gff.gz	gff	2025-09-15	2026-01-06				2025-11-25	dd33ef9ced4a000714dfbead9a6a2703
GCA_975301275.1	idDiaHype1.1.h1	984905	Diamesa hyperborea	GenBank	ELIXIR Norway	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/975/301/275/GCA_975301275.1_idDiaHype1.1.h1/GCA_975301275.1_idDiaHype1.1.h1_genomic.gff.gz	gff	2025-09-26	2026-01-06				2025-11-24	a71ad6162eb6ba09be8685fe9d8654de
GCA_965644035.1	DD_AS111_GENOME	148313	Discula destructiva	GenBank	University of Tennessee Knoxville	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/644/035/GCA_965644035.1_DD_AS111_GENOME/GCA_965644035.1_DD_AS111_GENOME_genomic.gff.gz	gff	2025-11-08	2026-01-06				2025-11-26	f2f46f49adaef1fd22bf92afe25d4201
GCA_048569125.1	fDirArg3.hap1	88682	Diretmus argenteus	GenBank	GenBank submitter	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/569/125/GCA_048569125.1_fDirArg3.hap1/GCA_048569125.1_fDirArg3.hap1_genomic.gff.gz	gff	2025-08-18	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2025-11-28	fbf344a5abe0f81d84125c20d975b814
GCA_965358665.1	DICA3.2	45537	Diutina catenulata	GenBank	Genoscope CEA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/358/665/GCA_965358665.1_DICA3.2/GCA_965358665.1_DICA3.2_genomic.gff.gz	gff	2025-10-21	2026-01-06				2025-11-25	ae62fe972a258e8f6ffbc78664ea77c1
GCA_965286745.1	DICA0.2	45537	Diutina catenulata	GenBank	Genoscope CEA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/286/745/GCA_965286745.1_DICA0.2/GCA_965286745.1_DICA0.2_genomic.gff.gz	gff	2025-10-21	2026-01-06				2025-11-25	5a8d1b6d0aa646be261d85d131bcbac0
GCA_965286845.1	DICA1.2	45537	Diutina catenulata	GenBank	Genoscope CEA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/286/845/GCA_965286845.1_DICA1.2/GCA_965286845.1_DICA1.2_genomic.gff.gz	gff	2025-10-21	2026-01-06				2025-11-25	b3dc83c55f13b3ca26562022ab96a7cf
