assembly_accession	assembly_name	taxon_id	organism_name	source_database	annotation_provider	access_url	file_format	release_date	retrieval_date	pipeline_name	pipeline_method	pipeline_version	last_modified_date	md5_checksum
GCF_021347895.1	KAUST_Apoly_ChrSc	80966	Acanthochromis polyacanthus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/347/895/GCF_021347895.1_KAUST_Apoly_ChrSc/GCF_021347895.1_KAUST_Apoly_ChrSc_genomic.gff.gz	gff	2023-02-27	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon; cmsearch; tRNAscan-SE	10.1	2023-02-28	8b5d70c28ed50817b93c5ce688a87bdd
GCF_904848185.1	fAcaLat1.1	8177	Acanthopagrus latus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/848/185/GCF_904848185.1_fAcaLat1.1/GCF_904848185.1_fAcaLat1.1_genomic.gff.gz	gff	2020-10-30	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	8.5	2022-09-28	c9da64d679db8152c62901547df24362
GCF_027475565.1	VMU_Ajub_asm_v1.0	32536	Acinonyx jubatus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/475/565/GCF_027475565.1_VMU_Ajub_asm_v1.0/GCF_027475565.1_VMU_Ajub_asm_v1.0_genomic.gff.gz	gff	2023-04-03	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon; cmsearch; tRNAscan-SE	10.1	2023-04-04	d9ca9837ae4f8690faecd2ba1b5b3def
GCF_903995435.1	mAcoRus1.1	60746	Acomys russatus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/995/435/GCF_903995435.1_mAcoRus1.1/GCF_903995435.1_mAcoRus1.1_genomic.gff.gz	gff	2023-02-26	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-02-27	f58efc09f32e9d6ede4ed53ff7b2d19e
GCF_013753865.1	Amil_v2.1	45264	Acropora millepora	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/753/865/GCF_013753865.1_Amil_v2.1/GCF_013753865.1_Amil_v2.1_genomic.gff.gz	gff	2021-10-01	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	9.0	2021-10-15	eca0bae84f91c3264287f76afbe86189
GCF_036669905.1	ASM3666990v1	159855	Acropora muricata	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/669/905/GCF_036669905.1_ASM3666990v1/GCF_036669905.1_ASM3666990v1_genomic.gff.gz	gff	2024-08-07	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.3	2024-08-09	91e9f2e8f2c624cc362b651caca2bb37
GCF_964030605.1	jaAcrPala1.3	6131	Acropora palmata	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/030/605/GCF_964030605.1_jaAcrPala1.3/GCF_964030605.1_jaAcrPala1.3_genomic.gff.gz	gff	2025-06-18	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.4	2025-06-30	4e1315083792ca4dc06c93b4c841f553
GCF_019202715.1	MaoHua_MHT	165200	Actinidia eriantha	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/202/715/GCF_019202715.1_MaoHua_MHT/GCF_019202715.1_MaoHua_MHT_genomic.gff.gz	gff	2023-06-23	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-06-29	2a5431257a67b20ce826856b7816ffd3
GCF_005508785.2	pea_aphid_22Mar2018_4r6ur_v2	7029	Acyrthosiphon pisum	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/508/785/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2_genomic.gff.gz	gff	2021-05-24	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	8.2	2023-06-24	42effcf1c9c0e45de2a2d44cb9b9c9ca
GCF_002204515.2	AaegL5.0	7159	Aedes aegypti	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0/GCF_002204515.2_AaegL5.0_genomic.gff.gz	gff	2017-07-12	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	7.4	2022-12-08	4d47cd307240414f4902d2d45f1d1786
