assembly_accession	assembly_name	taxon_id	organism_name	source_database	annotation_provider	access_url	file_format	release_date	pipeline_name	pipeline_method	pipeline_version	last_modified_date	md5_checksum	retrieval_date
GCA_000001215.4	BDGP6.46	7227	Drosophila melanogaster	Ensembl	flybase	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/215/4/flybase/2022_07/geneset/genes.gff3.gz	gff	2022-07-01				2026-04-05	db78304f3c133e6281005ce6b32b6221	2026-09-04
GCA_000001405.29	GRCh38.p14	9606	Homo sapiens	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/405/29/ensembl/2023_03/geneset/genes.gff3.gz	gff	2023-03-01	Ensembl Genebuild			2026-04-06	0f9d9b04b3ab473163960dab8c1330a1	2026-09-04
GCA_000001405.29	GRCh38.p14	9606	Homo sapiens	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/405/29/ensembl/2024_11/geneset/genes.gff3.gz	gff	2024-11-01	Ensembl Genebuild			2026-04-06	ccaddeb3e052d26842ad1eac6af1d742	2026-09-04
GCA_000001405.29	GRCh38.p14	9606	Homo sapiens	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/405/29/ensembl/2025_12/geneset/genes.gff3.gz	gff	2025-12-01	Ensembl Genebuild			2026-04-06	23ffcda8031660e58bbfa524bc53581a	2026-09-04
GCA_000001405.29	GRCh38.p14	9606	Homo sapiens	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/405/29/ensembl/2026_04/geneset/genes.gff3.gz	gff	2026-04-01	Ensembl Genebuild			2026-06-01	2c2a474c4dd51213188b1cbe340d4119	2026-09-04
GCA_000001515.5	Pan_tro_3.0	9598	Pan troglodytes	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/515/5/ensembl/2020_03/geneset/genes.gff3.gz	gff	2020-03-01	Ensembl Genebuild			2026-04-13	2dd56fe9c2c1a4682beb64606a487a7c	2026-09-04
GCA_000001635.9	GRCm39	10090	Mus musculus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/635/9/ensembl/2023_04/geneset/genes.gff3.gz	gff	2023-04-01	Ensembl Genebuild			2026-04-12	7f9a587d37e5a2052b77f63ae18152e4	2026-09-04
GCA_000001635.9	GRCm39	10090	Mus musculus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/635/9/ensembl/2024_11/geneset/genes.gff3.gz	gff	2024-11-01	Ensembl Genebuild			2026-04-12	0fc5263dc6e3c342912b35d045332089	2026-09-04
GCA_000001635.9	GRCm39	10090	Mus musculus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/635/9/ensembl/2025_12/geneset/genes.gff3.gz	gff	2025-12-01	Ensembl Genebuild			2026-04-12	35e06689f5b86065327386b3e413a4c2	2026-09-04
GCA_000001635.9	GRCm39	10090	Mus musculus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/635/9/ensembl/2026_04/geneset/genes.gff3.gz	gff	2026-04-01	Ensembl Genebuild			2026-06-01	1f0c1eb8018b3d2e50d5d56214264db6	2026-09-04
GCA_000001905.1	Loxafr3.0	9785	Loxodonta africana	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/001/905/1/ensembl/2011_12/geneset/genes.gff3.gz	gff	2011-12-01	Ensembl Genebuild			2026-04-11	8a1817b4470be11fdb4dd1b8227edb3f	2026-09-04
GCA_000002035.4	GRCz11	7955	Danio rerio	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/035/4/ensembl/2018_04/geneset/genes.gff3.gz	gff	2018-04-01	Ensembl Genebuild			2026-04-04	44ce6e81eda9f85fa610a075debf7180	2026-09-04
GCA_000002075.2	AplCal3.0	6500	Aplysia californica	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/075/2/ensembl/2024_11/geneset/genes.gff3.gz	gff	2024-11-01	Ensembl Genebuild			2026-04-02	0cdb14c7603c3970c17bb3c254fe9dd7	2026-09-04
GCA_000002285.4	Dog10K_Boxer_Tasha	9615	Canis lupus familiaris	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/285/4/ensembl/2020_10/geneset/genes.gff3.gz	gff	2020-10-01	Ensembl Genebuild			2026-04-04	cf6fc3f74cf2d60abac149a8b7199a9f	2026-09-04
GCA_000002295.1	ASM229v1	13616	Monodelphis domestica	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/295/1/ensembl/2019_05/geneset/genes.gff3.gz	gff	2019-05-01	Ensembl Genebuild			2026-04-13	688656d4561d050350e26472d3e2aa28	2026-09-04
GCA_000002315.5	GRCg6a	9031	Gallus gallus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/315/5/ensembl/2022_01/geneset/genes.gff3.gz	gff	2022-01-01	Ensembl Genebuild			2026-04-05	45894df9d6410e90a279391ebb3a4590	2026-09-04
GCA_000002435.2	UU_WB_2.1	184922	Giardia lamblia	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/435/2/community/2025_07/geneset/genes.gff3.gz	gff	2025-07-01				2026-05-26	35fd21ac664c946069a9e383053be9ce	2026-09-04
GCA_000002495.2	MG8	242507	Magnaporthe oryzae 70-15	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/495/2/community/2012_03/geneset/genes.gff3.gz	gff	2012-03-01				2026-04-11	90d9d107302d51d5526088af351ef403	2026-09-04
GCA_000002495.2	MG8	242507	Magnaporthe oryzae 70-15	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/495/2/community/2025_11/geneset/genes.gff3.gz	gff	2025-11-01				2026-05-26	c671d3d5321c282bfeee43a6480e7a25	2026-09-04
GCA_000002525.1	ASM252v1	284591	Yarrowia lipolytica clib122	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/525/1/community/2012_05/geneset/genes.gff3.gz	gff	2012-05-01				2026-04-19	652b473fac97fd1ff81fd4cc58acc5b7	2026-09-04
GCA_000002715.1	ASM271v1	344612	Aspergillus clavatus nrrl 1	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/715/1/community/2008_11/geneset/genes.gff3.gz	gff	2008-11-01				2026-04-02	b22ef1a2fe9c4f80252c521ca69f3f51	2026-09-04
GCA_000002765.3	GCA_000002765	36329	Plasmodium falciparum 3D7	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/765/3/community/2025_08/geneset/genes.gff3.gz	gff	2025-08-01				2026-04-14	046ba9d1337bf6b6b11672fecea955a4	2026-09-04
GCA_000002855.2	ASM285v2	5061	Aspergillus niger	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/855/2/community/2021_06/geneset/genes.gff3.gz	gff	2021-06-01				2026-04-02	35c0cd3915a3ee8cbdb6fcfb999e69f6	2026-09-04
GCA_000002985.3	WBcel235	6239	Caenorhabditis elegans	Ensembl	wormbase	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/002/985/3/wormbase/2014_10/geneset/genes.gff3.gz	gff	2014-10-01				2024-10-28	4985b92eb01ba8c8738ba791532a60cc	2026-09-04
GCA_000003195.3	Sorghum_bicolor_NCBIv3	4558	Sorghum bicolor	Ensembl	community_jgi	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/003/195/3/community_jgi/2017_06/geneset/genes.gff3.gz	gff	2017-06-01				2026-04-14	40c7028233321055d29be3529b8d047f	2026-09-04
GCA_000003625.1	OryCun2.0	9986	Oryctolagus cuniculus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/003/625/1/ensembl/2019_05/geneset/genes.gff3.gz	gff	2019-05-01	Ensembl Genebuild			2026-04-13	889e30bf5dfba546eb507fb6b527e269	2026-09-04
GCA_000004155.2	SCY4	653667	Schizosaccharomyces cryophilus oy26	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/004/155/2/community/2013_08/geneset/genes.gff3.gz	gff	2013-08-01				2026-04-14	87769303263bb82e31e49b709aa2bedf	2026-09-04
GCA_000004195.4	UCB_Xtro_10.0	8364	Xenopus tropicalis	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/004/195/4/ensembl/2021_02/geneset/genes.gff3.gz	gff	2021-02-01	Ensembl Genebuild			2026-04-19	c40ff0115ae85451f4ce3f36ae9b41ec	2026-09-04
GCA_000004255.1	v.1.0	81972	Arabidopsis lyrata subsp. lyrata	Ensembl	community_jgi	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/004/255/1/community_jgi/2025_06/geneset/genes.gff3.gz	gff	2025-06-01				2026-04-02	1fe70259b7af1a2ff1a0d90b084a36fc	2026-09-04
GCA_000006275.3	JCVI-afl1-v3.0	332952	Aspergillus flavus nrrl3357	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/006/275/3/community/2025_07/geneset/genes.gff3.gz	gff	2025-07-01				2026-04-02	84947a81a651369476d1d0ba30c6fb2f	2026-09-04
GCA_000006335.3	ASM633v3	294747	Candida tropicalis mya-3404	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/006/335/3/community/2025_07/geneset/genes.gff3.gz	gff	2025-07-01				2026-04-04	5e7b32e7445d878c1e6ceadc4ddd2722	2026-09-04
GCA_000006355.3	GCA_000006355.2	5851	Plasmodium knowlesi strain h	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/006/355/3/community/2025_08/geneset/genes.gff3.gz	gff	2025-08-01				2026-04-14	4046e6822134da9141177a8d09403568	2026-09-04
GCA_000027005.1	ASM2700v1	644223	Komagataella phaffii GS115	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/027/005/1/community/2009_07/geneset/genes.gff3.gz	gff	2009-07-01				2026-04-11	7ad7523687215af6d57a4dd56c2a9d98	2026-09-04
